"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 15:25:54 GMT 2021","Thu Aug 19 15:26:06 GMT 2021","11733","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"passed","Thu Aug 19 15:26:35 GMT 2021","Thu Aug 19 15:27:49 GMT 2021","73443","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 15:25:42 GMT 2021","Thu Aug 19 15:25:54 GMT 2021","11870","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"passed","Thu Aug 19 15:26:29 GMT 2021","Thu Aug 19 15:26:35 GMT 2021","6539","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 15:28:13 GMT 2021","Thu Aug 19 15:28:41 GMT 2021","27673","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Thu Aug 19 15:26:18 GMT 2021","Thu Aug 19 15:26:29 GMT 2021","10846","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Thu Aug 19 15:29:05 GMT 2021","Thu Aug 19 15:29:31 GMT 2021","25410","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 15:25:04 GMT 2021","Thu Aug 19 15:25:42 GMT 2021","38005","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 15:26:06 GMT 2021","Thu Aug 19 15:26:18 GMT 2021","12262","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Thu Aug 19 15:27:49 GMT 2021","Thu Aug 19 15:28:13 GMT 2021","24495","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Thu Aug 19 15:28:41 GMT 2021","Thu Aug 19 15:29:05 GMT 2021","24413","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
