"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 08 12:26:23 GMT 2021","Sun Aug 08 12:26:25 GMT 2021","2330","","profilemenu.ProfileMenuTest","","profilemenu.ProfileMenuTest","testProfileMenu","testProfileMenu()",""
"broken","Sun Aug 08 12:26:25 GMT 2021","Sun Aug 08 12:26:29 GMT 2021","3810","","data.DataListingTest","","data.DataListingTest","testDataListing","testDataListing()",""
"broken","Sun Aug 08 12:26:04 GMT 2021","Sun Aug 08 12:26:07 GMT 2021","2407","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","editProfileUserIDTest()",""
"broken","Sun Aug 08 12:25:50 GMT 2021","Sun Aug 08 12:26:02 GMT 2021","12188","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","writeBackNameTest()",""
"broken","Sun Aug 08 12:26:02 GMT 2021","Sun Aug 08 12:26:04 GMT 2021","2523","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","deleteBioTest()",""
"broken","Sun Aug 08 12:26:09 GMT 2021","Sun Aug 08 12:26:11 GMT 2021","2190","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Sun Aug 08 12:26:07 GMT 2021","Sun Aug 08 12:26:09 GMT 2021","2234","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","editBioTest()",""
"broken","Sun Aug 08 12:26:16 GMT 2021","Sun Aug 08 12:26:20 GMT 2021","3911","","search.searchTest","","search.searchTest","morePagesListsTest","morePagesListsTest()",""
"broken","Sun Aug 08 12:26:20 GMT 2021","Sun Aug 08 12:26:23 GMT 2021","2251","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Sun Aug 08 12:26:11 GMT 2021","Sun Aug 08 12:26:16 GMT 2021","5121","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","saveToFileTest()",""
