"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 08 12:21:23 GMT 2021","Sun Aug 08 12:21:23 GMT 2021","221","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","deleteBioTest()",""
"broken","Sun Aug 08 12:21:24 GMT 2021","Sun Aug 08 12:21:24 GMT 2021","161","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Sun Aug 08 12:21:21 GMT 2021","Sun Aug 08 12:21:23 GMT 2021","1705","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","writeBackNameTest()",""
"broken","Sun Aug 08 12:21:24 GMT 2021","Sun Aug 08 12:21:25 GMT 2021","156","","profilemenu.ProfileMenuTest","","profilemenu.ProfileMenuTest","testProfileMenu","testProfileMenu()",""
"broken","Sun Aug 08 12:21:23 GMT 2021","Sun Aug 08 12:21:23 GMT 2021","161","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","editProfileUserIDTest()",""
"broken","Sun Aug 08 12:21:23 GMT 2021","Sun Aug 08 12:21:24 GMT 2021","160","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","editBioTest()",""
"broken","Sun Aug 08 12:21:24 GMT 2021","Sun Aug 08 12:21:24 GMT 2021","189","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Sun Aug 08 12:21:24 GMT 2021","Sun Aug 08 12:21:24 GMT 2021","146","","search.searchTest","","search.searchTest","morePagesListsTest","morePagesListsTest()",""
"broken","Sun Aug 08 12:21:24 GMT 2021","Sun Aug 08 12:21:24 GMT 2021","181","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","saveToFileTest()",""
"broken","Sun Aug 08 12:21:25 GMT 2021","Sun Aug 08 12:21:25 GMT 2021","162","","data.DataListingTest","","data.DataListingTest","testDataListing","testDataListing()",""
