"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 14:32:36 GMT 2021","Thu Aug 19 14:34:07 GMT 2021","91824","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 14:31:52 GMT 2021","Thu Aug 19 14:31:59 GMT 2021","6356","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Thu Aug 19 14:32:15 GMT 2021","Thu Aug 19 14:32:22 GMT 2021","7285","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Thu Aug 19 14:32:22 GMT 2021","Thu Aug 19 14:32:29 GMT 2021","7016","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Thu Aug 19 14:31:59 GMT 2021","Thu Aug 19 14:32:15 GMT 2021","16471","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"broken","Thu Aug 19 14:34:37 GMT 2021","Thu Aug 19 14:34:42 GMT 2021","5839","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 14:34:30 GMT 2021","Thu Aug 19 14:34:37 GMT 2021","6093","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 14:31:32 GMT 2021","Thu Aug 19 14:31:52 GMT 2021","20105","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 14:34:07 GMT 2021","Thu Aug 19 14:34:14 GMT 2021","6457","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"passed","Thu Aug 19 14:32:29 GMT 2021","Thu Aug 19 14:32:36 GMT 2021","6213","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 14:34:14 GMT 2021","Thu Aug 19 14:34:30 GMT 2021","16525","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
