"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 08 12:15:14 GMT 2021","Sun Aug 08 12:15:14 GMT 2021","158","","profilemenu.ProfileMenuTest","","profilemenu.ProfileMenuTest","testProfileMenu","testProfileMenu()",""
"broken","Sun Aug 08 12:15:04 GMT 2021","Sun Aug 08 12:15:12 GMT 2021","8385","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","writeBackNameTest()",""
"broken","Sun Aug 08 12:15:12 GMT 2021","Sun Aug 08 12:15:13 GMT 2021","266","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","deleteBioTest()",""
"broken","Sun Aug 08 12:15:13 GMT 2021","Sun Aug 08 12:15:14 GMT 2021","158","","search.searchTest","","search.searchTest","morePagesListsTest","morePagesListsTest()",""
"broken","Sun Aug 08 12:15:14 GMT 2021","Sun Aug 08 12:15:14 GMT 2021","141","","data.DataListingTest","","data.DataListingTest","testDataListing","testDataListing()",""
"broken","Sun Aug 08 12:15:14 GMT 2021","Sun Aug 08 12:15:14 GMT 2021","151","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Sun Aug 08 12:15:13 GMT 2021","Sun Aug 08 12:15:13 GMT 2021","160","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","editBioTest()",""
"broken","Sun Aug 08 12:15:13 GMT 2021","Sun Aug 08 12:15:13 GMT 2021","156","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","editProfileUserIDTest()",""
"broken","Sun Aug 08 12:15:13 GMT 2021","Sun Aug 08 12:15:13 GMT 2021","139","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","saveToFileTest()",""
"broken","Sun Aug 08 12:15:13 GMT 2021","Sun Aug 08 12:15:13 GMT 2021","175","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
