"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 14:15:44 GMT 2021","Thu Aug 19 14:15:50 GMT 2021","5554","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 14:15:29 GMT 2021","Thu Aug 19 14:15:44 GMT 2021","14733","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Thu Aug 19 14:17:15 GMT 2021","Thu Aug 19 14:17:33 GMT 2021","17327","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Thu Aug 19 14:17:33 GMT 2021","Thu Aug 19 14:17:39 GMT 2021","5897","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 14:14:22 GMT 2021","Thu Aug 19 14:14:45 GMT 2021","23285","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 14:15:00 GMT 2021","Thu Aug 19 14:15:14 GMT 2021","14647","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"broken","Thu Aug 19 14:15:14 GMT 2021","Thu Aug 19 14:15:29 GMT 2021","14985","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"passed","Thu Aug 19 14:15:50 GMT 2021","Thu Aug 19 14:17:01 GMT 2021","71364","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 14:17:39 GMT 2021","Thu Aug 19 14:17:53 GMT 2021","14434","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 14:17:01 GMT 2021","Thu Aug 19 14:17:15 GMT 2021","14514","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Thu Aug 19 14:14:45 GMT 2021","Thu Aug 19 14:15:00 GMT 2021","14599","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
