"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 15:11:07 GMT 2021","Thu Aug 19 15:11:07 GMT 2021","285","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Thu Aug 19 15:11:07 GMT 2021","Thu Aug 19 15:11:07 GMT 2021","226","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"broken","Thu Aug 19 15:11:08 GMT 2021","Thu Aug 19 15:11:08 GMT 2021","152","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 15:11:06 GMT 2021","Thu Aug 19 15:11:07 GMT 2021","326","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Thu Aug 19 15:10:59 GMT 2021","Thu Aug 19 15:11:06 GMT 2021","7541","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 15:11:07 GMT 2021","Thu Aug 19 15:11:07 GMT 2021","185","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Thu Aug 19 15:11:08 GMT 2021","Thu Aug 19 15:11:08 GMT 2021","164","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Thu Aug 19 15:11:08 GMT 2021","Thu Aug 19 15:11:08 GMT 2021","155","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 15:11:07 GMT 2021","Thu Aug 19 15:11:08 GMT 2021","180","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 15:11:07 GMT 2021","Thu Aug 19 15:11:07 GMT 2021","159","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 15:11:08 GMT 2021","Thu Aug 19 15:11:08 GMT 2021","246","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
