"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 20 06:34:49 GMT 2021","Fri Aug 20 06:35:28 GMT 2021","38341","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Fri Aug 20 06:36:09 GMT 2021","Fri Aug 20 06:36:29 GMT 2021","20154","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Fri Aug 20 06:31:47 GMT 2021","Fri Aug 20 06:32:17 GMT 2021","29735","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"passed","Fri Aug 20 06:33:39 GMT 2021","Fri Aug 20 06:33:44 GMT 2021","5235","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Fri Aug 20 06:32:58 GMT 2021","Fri Aug 20 06:33:18 GMT 2021","20146","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Fri Aug 20 06:35:49 GMT 2021","Fri Aug 20 06:36:09 GMT 2021","19931","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Fri Aug 20 06:32:38 GMT 2021","Fri Aug 20 06:32:58 GMT 2021","19977","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"broken","Fri Aug 20 06:33:18 GMT 2021","Fri Aug 20 06:33:39 GMT 2021","20251","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"passed","Fri Aug 20 06:33:44 GMT 2021","Fri Aug 20 06:34:49 GMT 2021","65346","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Fri Aug 20 06:32:17 GMT 2021","Fri Aug 20 06:32:38 GMT 2021","21295","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Fri Aug 20 06:35:28 GMT 2021","Fri Aug 20 06:35:49 GMT 2021","21558","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
