"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 20 07:29:39 GMT 2021","Fri Aug 20 07:30:14 GMT 2021","34843","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Fri Aug 20 07:25:18 GMT 2021","Fri Aug 20 07:25:47 GMT 2021","29291","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"passed","Fri Aug 20 07:27:27 GMT 2021","Fri Aug 20 07:28:47 GMT 2021","80025","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Fri Aug 20 07:26:13 GMT 2021","Fri Aug 20 07:26:37 GMT 2021","24003","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"passed","Fri Aug 20 07:27:19 GMT 2021","Fri Aug 20 07:27:27 GMT 2021","7320","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Fri Aug 20 07:28:47 GMT 2021","Fri Aug 20 07:29:27 GMT 2021","40048","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Fri Aug 20 07:26:37 GMT 2021","Fri Aug 20 07:26:58 GMT 2021","21180","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Fri Aug 20 07:25:47 GMT 2021","Fri Aug 20 07:26:13 GMT 2021","25650","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Fri Aug 20 07:29:27 GMT 2021","Fri Aug 20 07:29:35 GMT 2021","8028","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Fri Aug 20 07:26:58 GMT 2021","Fri Aug 20 07:27:19 GMT 2021","21109","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Fri Aug 20 07:29:35 GMT 2021","Fri Aug 20 07:29:39 GMT 2021","4105","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
