"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 14:45:19 GMT 2021","Thu Aug 19 14:46:09 GMT 2021","50224","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 14:42:29 GMT 2021","Thu Aug 19 14:43:34 GMT 2021","65310","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 14:44:49 GMT 2021","Thu Aug 19 14:45:19 GMT 2021","30417","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"passed","Thu Aug 19 14:46:09 GMT 2021","Thu Aug 19 14:47:44 GMT 2021","95030","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 14:49:18 GMT 2021","Thu Aug 19 14:49:44 GMT 2021","25608","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 14:44:08 GMT 2021","Thu Aug 19 14:44:30 GMT 2021","22710","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"broken","Thu Aug 19 14:44:30 GMT 2021","Thu Aug 19 14:44:49 GMT 2021","18248","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Thu Aug 19 14:48:12 GMT 2021","Thu Aug 19 14:48:49 GMT 2021","37499","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Thu Aug 19 14:43:34 GMT 2021","Thu Aug 19 14:44:08 GMT 2021","33814","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Thu Aug 19 14:48:49 GMT 2021","Thu Aug 19 14:49:18 GMT 2021","28883","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 14:47:44 GMT 2021","Thu Aug 19 14:48:12 GMT 2021","27293","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
