"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 09:47:46 GMT 2021","Thu Aug 19 09:48:12 GMT 2021","25196","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"passed","Thu Aug 19 09:48:12 GMT 2021","Thu Aug 19 09:48:17 GMT 2021","5184","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 09:49:44 GMT 2021","Thu Aug 19 09:50:09 GMT 2021","24925","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Thu Aug 19 09:47:21 GMT 2021","Thu Aug 19 09:47:46 GMT 2021","24922","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Thu Aug 19 09:45:51 GMT 2021","Thu Aug 19 09:46:31 GMT 2021","40664","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 09:51:01 GMT 2021","Thu Aug 19 09:51:25 GMT 2021","24605","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 09:50:36 GMT 2021","Thu Aug 19 09:51:01 GMT 2021","24787","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 09:46:57 GMT 2021","Thu Aug 19 09:47:21 GMT 2021","24714","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"passed","Thu Aug 19 09:48:17 GMT 2021","Thu Aug 19 09:49:44 GMT 2021","87406","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 09:50:09 GMT 2021","Thu Aug 19 09:50:36 GMT 2021","26846","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Thu Aug 19 09:46:31 GMT 2021","Thu Aug 19 09:46:57 GMT 2021","25426","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
