"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 15:18:13 GMT 2021","Thu Aug 19 15:18:39 GMT 2021","25818","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 15:17:17 GMT 2021","Thu Aug 19 15:17:43 GMT 2021","26225","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Thu Aug 19 15:18:39 GMT 2021","Thu Aug 19 15:19:05 GMT 2021","26172","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 15:14:19 GMT 2021","Thu Aug 19 15:14:47 GMT 2021","27981","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Thu Aug 19 15:17:43 GMT 2021","Thu Aug 19 15:18:13 GMT 2021","30020","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Thu Aug 19 15:13:35 GMT 2021","Thu Aug 19 15:14:20 GMT 2021","44346","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"passed","Thu Aug 19 15:15:46 GMT 2021","Thu Aug 19 15:17:17 GMT 2021","90833","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 15:14:47 GMT 2021","Thu Aug 19 15:15:14 GMT 2021","26119","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"passed","Thu Aug 19 15:15:40 GMT 2021","Thu Aug 19 15:15:46 GMT 2021","5610","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 15:13:35 GMT 2021","Thu Aug 19 15:14:19 GMT 2021","43956","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 15:15:14 GMT 2021","Thu Aug 19 15:15:40 GMT 2021","26558","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
