"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 13:38:52 GMT 2021","Tue Aug 10 13:38:52 GMT 2021","160","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","editBioTest()",""
"broken","Tue Aug 10 13:38:53 GMT 2021","Tue Aug 10 13:38:54 GMT 2021","142","","data.DataListingTest","","data.DataListingTest","testDataListing","testDataListing()",""
"broken","Tue Aug 10 13:38:46 GMT 2021","Tue Aug 10 13:38:52 GMT 2021","6182","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","writeBackNameTest()",""
"broken","Tue Aug 10 13:38:53 GMT 2021","Tue Aug 10 13:38:53 GMT 2021","160","","profilemenu.ProfileMenuTest","","profilemenu.ProfileMenuTest","testSelectMenuItem","testSelectMenuItem()",""
"broken","Tue Aug 10 13:38:52 GMT 2021","Tue Aug 10 13:38:52 GMT 2021","222","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","deleteBioTest()",""
"broken","Tue Aug 10 13:38:54 GMT 2021","Tue Aug 10 13:38:54 GMT 2021","167","","data.DataListingTest","","data.DataListingTest","testWatchListing","testWatchListing()",""
"broken","Tue Aug 10 13:38:53 GMT 2021","Tue Aug 10 13:38:53 GMT 2021","149","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","saveToFileTest()",""
"broken","Tue Aug 10 13:38:52 GMT 2021","Tue Aug 10 13:38:52 GMT 2021","154","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","editProfileUserIDTest()",""
"broken","Tue Aug 10 13:38:53 GMT 2021","Tue Aug 10 13:38:53 GMT 2021","199","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Tue Aug 10 13:38:53 GMT 2021","Tue Aug 10 13:38:53 GMT 2021","159","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Tue Aug 10 13:38:53 GMT 2021","Tue Aug 10 13:38:53 GMT 2021","153","","search.searchTest","","search.searchTest","morePagesListsTest","morePagesListsTest()",""
