"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 13:39:12 GMT 2021","Thu Aug 19 13:39:20 GMT 2021","7935","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Thu Aug 19 13:41:25 GMT 2021","Thu Aug 19 13:41:33 GMT 2021","7247","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 13:38:58 GMT 2021","Thu Aug 19 13:39:05 GMT 2021","7140","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"broken","Thu Aug 19 13:38:41 GMT 2021","Thu Aug 19 13:38:58 GMT 2021","16959","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Thu Aug 19 13:40:55 GMT 2021","Thu Aug 19 13:41:02 GMT 2021","6732","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"passed","Thu Aug 19 13:39:20 GMT 2021","Thu Aug 19 13:39:30 GMT 2021","9374","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 13:39:05 GMT 2021","Thu Aug 19 13:39:12 GMT 2021","7111","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Thu Aug 19 13:38:31 GMT 2021","Thu Aug 19 13:38:41 GMT 2021","9619","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"passed","Thu Aug 19 13:39:30 GMT 2021","Thu Aug 19 13:40:55 GMT 2021","85526","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 13:41:15 GMT 2021","Thu Aug 19 13:41:25 GMT 2021","10595","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 13:41:02 GMT 2021","Thu Aug 19 13:41:15 GMT 2021","12794","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
