"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 16:35:47 GMT 2021","Wed Aug 18 16:35:52 GMT 2021","5080","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Wed Aug 18 16:36:12 GMT 2021","Wed Aug 18 16:36:24 GMT 2021","11324","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Wed Aug 18 16:36:06 GMT 2021","Wed Aug 18 16:36:12 GMT 2021","6467","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Wed Aug 18 16:36:28 GMT 2021","Wed Aug 18 16:36:34 GMT 2021","5784","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Wed Aug 18 16:36:24 GMT 2021","Wed Aug 18 16:36:28 GMT 2021","4408","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Wed Aug 18 16:35:44 GMT 2021","Wed Aug 18 16:35:47 GMT 2021","3132","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Wed Aug 18 16:35:59 GMT 2021","Wed Aug 18 16:36:06 GMT 2021","7359","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Wed Aug 18 16:35:38 GMT 2021","Wed Aug 18 16:35:41 GMT 2021","2827","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Wed Aug 18 16:35:30 GMT 2021","Wed Aug 18 16:35:38 GMT 2021","7616","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Wed Aug 18 16:35:41 GMT 2021","Wed Aug 18 16:35:44 GMT 2021","3123","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"passed","Wed Aug 18 16:35:52 GMT 2021","Wed Aug 18 16:35:59 GMT 2021","6482","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
