"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 17:36:50 GMT 2021","Wed Aug 18 17:37:12 GMT 2021","22400","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Wed Aug 18 17:39:11 GMT 2021","Wed Aug 18 17:39:40 GMT 2021","28589","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Wed Aug 18 17:38:46 GMT 2021","Wed Aug 18 17:39:11 GMT 2021","25805","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Wed Aug 18 17:36:25 GMT 2021","Wed Aug 18 17:36:50 GMT 2021","24945","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Wed Aug 18 17:40:07 GMT 2021","Wed Aug 18 17:40:37 GMT 2021","30385","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Wed Aug 18 17:37:12 GMT 2021","Wed Aug 18 17:37:38 GMT 2021","25983","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"broken","Wed Aug 18 17:38:38 GMT 2021","Wed Aug 18 17:38:46 GMT 2021","7230","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Wed Aug 18 17:39:40 GMT 2021","Wed Aug 18 17:40:07 GMT 2021","26580","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Wed Aug 18 17:37:38 GMT 2021","Wed Aug 18 17:38:04 GMT 2021","26093","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Wed Aug 18 17:38:04 GMT 2021","Wed Aug 18 17:38:30 GMT 2021","25951","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Wed Aug 18 17:38:30 GMT 2021","Wed Aug 18 17:38:38 GMT 2021","8205","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
