"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 13:33:56 GMT 2021","Wed Aug 18 13:33:59 GMT 2021","2995","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Wed Aug 18 13:33:41 GMT 2021","Wed Aug 18 13:33:47 GMT 2021","5702","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","writeBackNameTest()",""
"broken","Wed Aug 18 13:34:33 GMT 2021","Wed Aug 18 13:34:39 GMT 2021","6198","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","testRemoveFromWatchListing()",""
"broken","Wed Aug 18 13:34:16 GMT 2021","Wed Aug 18 13:34:20 GMT 2021","3846","","profilemenu.ProfileMenuTest","","profilemenu.ProfileMenuTest","testSelectMenuItem","testSelectMenuItem()",""
"broken","Wed Aug 18 13:33:51 GMT 2021","Wed Aug 18 13:33:53 GMT 2021","2579","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","editProfileUserIDTest()",""
"broken","Wed Aug 18 13:34:07 GMT 2021","Wed Aug 18 13:34:12 GMT 2021","5518","","search.searchTest","","search.searchTest","morePagesListsTest","morePagesListsTest()",""
"broken","Wed Aug 18 13:34:12 GMT 2021","Wed Aug 18 13:34:16 GMT 2021","3375","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 13:33:53 GMT 2021","Wed Aug 18 13:33:56 GMT 2021","2952","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","editBioTest()",""
"broken","Wed Aug 18 13:33:47 GMT 2021","Wed Aug 18 13:33:51 GMT 2021","3653","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","deleteBioTest()",""
"broken","Wed Aug 18 13:34:20 GMT 2021","Wed Aug 18 13:34:26 GMT 2021","6568","","data.DataListingTest","","data.DataListingTest","testDataListing","testDataListing()",""
"broken","Wed Aug 18 13:34:26 GMT 2021","Wed Aug 18 13:34:33 GMT 2021","6850","","data.DataListingTest","","data.DataListingTest","testWatchListing","testWatchListing()",""
"passed","Wed Aug 18 13:33:59 GMT 2021","Wed Aug 18 13:34:07 GMT 2021","7672","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","saveToFileTest()",""
