"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 09:55:07 GMT 2021","Thu Aug 19 09:55:12 GMT 2021","5010","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 09:56:34 GMT 2021","Thu Aug 19 09:56:38 GMT 2021","4175","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 09:56:24 GMT 2021","Thu Aug 19 09:56:28 GMT 2021","4321","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Thu Aug 19 09:55:03 GMT 2021","Thu Aug 19 09:55:07 GMT 2021","4508","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"passed","Thu Aug 19 09:55:12 GMT 2021","Thu Aug 19 09:56:24 GMT 2021","71769","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 09:56:28 GMT 2021","Thu Aug 19 09:56:34 GMT 2021","5771","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Thu Aug 19 09:54:50 GMT 2021","Thu Aug 19 09:54:54 GMT 2021","4226","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Thu Aug 19 09:56:38 GMT 2021","Thu Aug 19 09:56:42 GMT 2021","4130","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 09:54:59 GMT 2021","Thu Aug 19 09:55:03 GMT 2021","4129","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Thu Aug 19 09:54:33 GMT 2021","Thu Aug 19 09:54:50 GMT 2021","17531","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 09:54:54 GMT 2021","Thu Aug 19 09:54:59 GMT 2021","4122","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
