"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 19:05:47 GMT 2021","Sun Aug 22 19:05:55 GMT 2021","7551","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Sun Aug 22 19:04:39 GMT 2021","Sun Aug 22 19:05:03 GMT 2021","23406","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"broken","Sun Aug 22 19:07:03 GMT 2021","Sun Aug 22 19:07:44 GMT 2021","41298","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Sun Aug 22 19:07:44 GMT 2021","Sun Aug 22 19:07:53 GMT 2021","9222","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Sun Aug 22 19:04:16 GMT 2021","Sun Aug 22 19:04:39 GMT 2021","23756","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Sun Aug 22 19:07:53 GMT 2021","Sun Aug 22 19:07:59 GMT 2021","5467","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Sun Aug 22 19:05:03 GMT 2021","Sun Aug 22 19:05:25 GMT 2021","22379","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Sun Aug 22 19:03:42 GMT 2021","Sun Aug 22 19:04:15 GMT 2021","33361","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Sun Aug 22 19:05:25 GMT 2021","Sun Aug 22 19:05:47 GMT 2021","22289","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Sun Aug 22 19:07:59 GMT 2021","Sun Aug 22 19:08:21 GMT 2021","22071","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"passed","Sun Aug 22 19:05:55 GMT 2021","Sun Aug 22 19:07:03 GMT 2021","67693","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
