"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 27 13:17:46 GMT 2021","Fri Aug 27 13:17:55 GMT 2021","8350","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Fri Aug 27 13:15:30 GMT 2021","Fri Aug 27 13:16:09 GMT 2021","38350","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Fri Aug 27 13:16:58 GMT 2021","Fri Aug 27 13:17:23 GMT 2021","24297","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Fri Aug 27 13:20:40 GMT 2021","Fri Aug 27 13:21:03 GMT 2021","23730","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Fri Aug 27 13:20:33 GMT 2021","Fri Aug 27 13:20:40 GMT 2021","7042","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"passed","Fri Aug 27 13:17:55 GMT 2021","Fri Aug 27 13:19:41 GMT 2021","106206","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Fri Aug 27 13:17:23 GMT 2021","Fri Aug 27 13:17:46 GMT 2021","23622","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Fri Aug 27 13:16:35 GMT 2021","Fri Aug 27 13:16:58 GMT 2021","23679","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"broken","Fri Aug 27 13:16:09 GMT 2021","Fri Aug 27 13:16:35 GMT 2021","26020","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Fri Aug 27 13:20:22 GMT 2021","Fri Aug 27 13:20:33 GMT 2021","10363","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Fri Aug 27 13:19:41 GMT 2021","Fri Aug 27 13:20:22 GMT 2021","41325","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
