"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 09:48:16 GMT 2021","Fri Aug 06 09:48:16 GMT 2021","35","","search.searchTest","","search.searchTest","morePagesListsTest","morePagesListsTest()",""
"broken","Fri Aug 06 09:48:15 GMT 2021","Fri Aug 06 09:48:16 GMT 2021","49","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","saveToFileTest()",""
"broken","Fri Aug 06 09:48:15 GMT 2021","Fri Aug 06 09:48:15 GMT 2021","70","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Fri Aug 06 09:48:15 GMT 2021","Fri Aug 06 09:48:15 GMT 2021","50","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Fri Aug 06 09:48:16 GMT 2021","Fri Aug 06 09:48:16 GMT 2021","32","","profilemenu.ProfileMenuTest","","profilemenu.ProfileMenuTest","testProfileMenu","testProfileMenu()",""
"broken","Fri Aug 06 09:48:13 GMT 2021","Fri Aug 06 09:48:15 GMT 2021","1687","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","deleteBioTest()",""
"broken","Fri Aug 06 09:48:15 GMT 2021","Fri Aug 06 09:48:15 GMT 2021","42","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","editBioTest()",""
"broken","Fri Aug 06 09:48:16 GMT 2021","Fri Aug 06 09:48:16 GMT 2021","42","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Fri Aug 06 09:48:16 GMT 2021","Fri Aug 06 09:48:16 GMT 2021","43","","data.DataListingTest","","data.DataListingTest","testDataListing","testDataListing()",""
"broken","Fri Aug 06 09:48:15 GMT 2021","Fri Aug 06 09:48:15 GMT 2021","117","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","editProfileUserIDTest()",""
