"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 14:07:15 GMT 2021","Thu Aug 19 14:07:22 GMT 2021","7452","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Thu Aug 19 14:05:26 GMT 2021","Thu Aug 19 14:05:30 GMT 2021","4703","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Thu Aug 19 14:05:12 GMT 2021","Thu Aug 19 14:05:26 GMT 2021","13874","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 14:07:10 GMT 2021","Thu Aug 19 14:07:14 GMT 2021","4784","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Thu Aug 19 14:07:27 GMT 2021","Thu Aug 19 14:07:31 GMT 2021","4342","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 14:05:35 GMT 2021","Thu Aug 19 14:05:41 GMT 2021","5775","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"passed","Thu Aug 19 14:05:46 GMT 2021","Thu Aug 19 14:05:56 GMT 2021","9127","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"passed","Thu Aug 19 14:05:56 GMT 2021","Thu Aug 19 14:07:10 GMT 2021","74105","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 14:05:41 GMT 2021","Thu Aug 19 14:05:46 GMT 2021","5312","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Thu Aug 19 14:07:22 GMT 2021","Thu Aug 19 14:07:27 GMT 2021","4581","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 14:05:30 GMT 2021","Thu Aug 19 14:05:35 GMT 2021","4957","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
