"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 13:53:31 GMT 2021","Wed Aug 18 13:53:39 GMT 2021","8210","","data.DataListingTest","","data.DataListingTest","testDataListing","testDataListing()",""
"broken","Wed Aug 18 13:53:43 GMT 2021","Wed Aug 18 13:53:48 GMT 2021","4552","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","testRemoveFromWatchListing()",""
"broken","Wed Aug 18 13:53:07 GMT 2021","Wed Aug 18 13:53:09 GMT 2021","2826","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","editProfileUserIDTest()",""
"broken","Wed Aug 18 13:53:12 GMT 2021","Wed Aug 18 13:53:15 GMT 2021","2969","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Wed Aug 18 13:53:04 GMT 2021","Wed Aug 18 13:53:07 GMT 2021","2822","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","deleteBioTest()",""
"passed","Wed Aug 18 13:53:15 GMT 2021","Wed Aug 18 13:53:22 GMT 2021","6972","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","saveToFileTest()",""
"broken","Wed Aug 18 13:53:27 GMT 2021","Wed Aug 18 13:53:31 GMT 2021","3660","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 13:53:22 GMT 2021","Wed Aug 18 13:53:27 GMT 2021","4831","","search.searchTest","","search.searchTest","morePagesListsTest","morePagesListsTest()",""
"broken","Wed Aug 18 13:53:39 GMT 2021","Wed Aug 18 13:53:43 GMT 2021","4288","","data.DataListingTest","","data.DataListingTest","testWatchListing","testWatchListing()",""
"broken","Wed Aug 18 13:52:53 GMT 2021","Wed Aug 18 13:53:04 GMT 2021","10791","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","writeBackNameTest()",""
"broken","Wed Aug 18 13:53:09 GMT 2021","Wed Aug 18 13:53:12 GMT 2021","2959","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","editBioTest()",""
