"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 07:31:04 GMT 2021","Thu Aug 19 07:31:26 GMT 2021","21719","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Thu Aug 19 07:32:34 GMT 2021","Thu Aug 19 07:32:57 GMT 2021","23344","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Thu Aug 19 07:32:57 GMT 2021","Thu Aug 19 07:33:23 GMT 2021","25283","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 07:30:43 GMT 2021","Thu Aug 19 07:31:04 GMT 2021","21681","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"broken","Thu Aug 19 07:30:21 GMT 2021","Thu Aug 19 07:30:43 GMT 2021","21798","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"passed","Thu Aug 19 07:31:48 GMT 2021","Thu Aug 19 07:31:53 GMT 2021","5567","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 07:31:53 GMT 2021","Thu Aug 19 07:31:58 GMT 2021","4249","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 07:31:58 GMT 2021","Thu Aug 19 07:32:34 GMT 2021","36414","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Thu Aug 19 07:29:55 GMT 2021","Thu Aug 19 07:30:21 GMT 2021","25348","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 07:33:23 GMT 2021","Thu Aug 19 07:33:48 GMT 2021","25519","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 07:31:26 GMT 2021","Thu Aug 19 07:31:48 GMT 2021","21702","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
