"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 13:25:21 GMT 2021","Wed Aug 18 13:25:30 GMT 2021","9452","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","testRemoveFromWatchListing()",""
"broken","Wed Aug 18 13:23:52 GMT 2021","Wed Aug 18 13:24:02 GMT 2021","9889","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","writeBackNameTest()",""
"broken","Wed Aug 18 13:24:11 GMT 2021","Wed Aug 18 13:24:16 GMT 2021","4869","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","editBioTest()",""
"broken","Wed Aug 18 13:24:16 GMT 2021","Wed Aug 18 13:24:20 GMT 2021","4748","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Wed Aug 18 13:24:57 GMT 2021","Wed Aug 18 13:25:10 GMT 2021","12786","","data.DataListingTest","","data.DataListingTest","testDataListing","testDataListing()",""
"broken","Wed Aug 18 13:24:31 GMT 2021","Wed Aug 18 13:24:42 GMT 2021","10854","","search.searchTest","","search.searchTest","morePagesListsTest","morePagesListsTest()",""
"passed","Wed Aug 18 13:24:20 GMT 2021","Wed Aug 18 13:24:31 GMT 2021","10945","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","saveToFileTest()",""
"broken","Wed Aug 18 13:24:02 GMT 2021","Wed Aug 18 13:24:06 GMT 2021","4407","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","deleteBioTest()",""
"broken","Wed Aug 18 13:24:06 GMT 2021","Wed Aug 18 13:24:11 GMT 2021","4511","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","editProfileUserIDTest()",""
"broken","Wed Aug 18 13:24:42 GMT 2021","Wed Aug 18 13:24:48 GMT 2021","5805","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 13:25:10 GMT 2021","Wed Aug 18 13:25:21 GMT 2021","10890","","data.DataListingTest","","data.DataListingTest","testWatchListing","testWatchListing()",""
"broken","Wed Aug 18 13:24:48 GMT 2021","Wed Aug 18 13:24:57 GMT 2021","9078","","profilemenu.ProfileMenuTest","","profilemenu.ProfileMenuTest","testSelectMenuItem","testSelectMenuItem()",""
