"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 13:33:25 GMT 2021","Thu Aug 19 13:33:30 GMT 2021","5456","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 13:31:25 GMT 2021","Thu Aug 19 13:31:30 GMT 2021","5370","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Thu Aug 19 13:33:07 GMT 2021","Thu Aug 19 13:33:12 GMT 2021","4947","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Thu Aug 19 13:33:12 GMT 2021","Thu Aug 19 13:33:19 GMT 2021","7089","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Thu Aug 19 13:31:30 GMT 2021","Thu Aug 19 13:31:36 GMT 2021","5437","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Thu Aug 19 13:30:57 GMT 2021","Thu Aug 19 13:31:13 GMT 2021","16299","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 13:33:19 GMT 2021","Thu Aug 19 13:33:25 GMT 2021","5556","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"passed","Thu Aug 19 13:31:36 GMT 2021","Thu Aug 19 13:31:45 GMT 2021","9013","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 13:31:13 GMT 2021","Thu Aug 19 13:31:20 GMT 2021","6878","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Thu Aug 19 13:31:20 GMT 2021","Thu Aug 19 13:31:25 GMT 2021","4929","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"passed","Thu Aug 19 13:31:45 GMT 2021","Thu Aug 19 13:33:07 GMT 2021","82173","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
